"Latin","Français"
"aut, si vellet minus id,","ou, s'il voulait moins (ne voulait pas) cela,"
"mitteret ad se","qu'il envoyât vers lui-même"
"aliquem ex suis legatis. »","quelqu'un de ses lieutenants. »"
"Causa colloquendi","Un motif de conférer"
"non visa est Cæsari,","ne parut pas à César exister,"
"et eo magis","et d'autant plus"
"quod pridie ejus diei","que la veille de ce jour"
"Germani","les Germains"
"non poterant retineri","ne pouvaient se retenir (s'empêcher)"
"quin conjicerent tela","qu'ils ne jetassent des traits"
"in nostros.","sur nos soldats."
"Existimabat sese","Il estimait lui-même"
"missurum ad eum","devoir envoyer vers lui (Arioviste)"
"cum magno periculo","avec un grand danger"
"legatum ex suis,","un lieutenant des siens,"
"et objectorum","et devoir l'exposer"
"hominibus feris.","à des hommes féroces."
"Commodissimum visum est","Le plus avantageux lui parut être"
"mittere ad eum","d'envoyer vers lui"
"C. Valerium Procillum,","C. Valérius Procillus,"
"filium C. Valerii Caburi,","fils de C. Valérius Caburus,"
"adolescentem","jeune-homme"
"summa virtute","d'une très-haute valeur"
"et humanitate","et d'une très-grande douceur"
"(enjus pater","(dont le père"
"donatus erat civitate","avait été gratifié du droit-de-cité"
"a C. Valerio Flacco),","par C. Valérius Flaccus),"
"et propter fidem,","et à-cause-de sa fidélité,"
"et propter scientiam","et à-cause-de sa connaissance"
"linguæ Gallicæ,","de la langue gauloise,"
"qua multa","de laquelle abondante (en grande partie)"
"Ariovistus jam utebatur","Arioviste déjà faisait usage"
"longinqua consuetudine,","par une longue habitude,"
"et quod causa peccandi in eo","et parce qu'un motif de mal-faire contre"
"non esset Germanis,","n'était pas aux Germains,"
"et M. Mettium,","et M. Mettius,"
"qui usus erat","qui avait usé"
"hospitio Ariovisti.","de l'hospitalité d'Arioviste."
"Mandavit his","Il donna-commission à ceux-ci"
"ut cognoscerent","qu'ils entendissent"
"et referrent ad se","et rapportassent à lui-même"
"quæ Ariovistus diceret.","les choses qu'Arioviste dirait."
"Quos quum Ariovistus","Lesquels lorsqu'Arioviste"
"conspexit","aperçut"
"apud se in castris,","près de lui dans le camp,"
"suo exercitu presente,","son armée étant-présente,"
"conclamavit:","il s'écria :"
"""Quid venirent ad se ?","""Pourquoi venaient-ils vers lui-même ?"
"an causa speculandi?""",était-ce en vue d'espionner ? »
"Prohibuit conantes dicere","Il empêcha ceux s'efforçant de parler"
"et conjecit in catenas.","et les jeta dans les chaînes."

